,Date,Close,Fig,Ten_ma,pct_chg
435,2015-08-20,287.5,GASL,355.7,-0.0665584415584416
436,2015-08-21,261.5,GASL,350.3,-0.09043478260869564
437,2015-08-24,216.0,GASL,332.7,-0.1739961759082218
438,2015-08-25,205.5,GASL,316.1,-0.04861111111111116
439,2015-08-26,227.0,GASL,296.7,0.1046228710462287
440,2015-08-27,303.5,GASL,290.3,0.3370044052863437
441,2015-08-28,326.0,GASL,285.75,0.07413509060955525
442,2015-08-31,346.0,GASL,284.25,0.06134969325153383
443,2015-09-01,298.0,GASL,277.9,-0.138728323699422
444,2015-09-02,305.0,GASL,277.6,0.02348993288590595
445,2015-09-03,320.5,GASL,280.9,0.050819672131147575
446,2015-09-04,293.0,GASL,284.05,-0.08580343213728547
447,2015-09-08,294.5,GASL,291.9,0.005119453924914641
448,2015-09-09,269.0,GASL,298.25,-0.08658743633276744
449,2015-09-10,275.5,GASL,303.1,0.024163568773234223
450,2015-09-11,253.5,GASL,298.1,-0.07985480943738654
451,2015-09-14,241.0,GASL,289.6,-0.04930966469428011
452,2015-09-15,251.5,GASL,280.15,0.043568464730290524
453,2015-09-16,306.0,GASL,280.95,0.21669980119284293
454,2015-09-17,297.0,GASL,280.15,-0.02941176470588236
455,2015-09-18,268.0,GASL,274.9,-0.09764309764309764
456,2015-09-21,259.5,GASL,271.55,-0.03171641791044777
457,2015-09-22,241.0,GASL,266.2,-0.07129094412331405
458,2015-09-23,206.5,GASL,259.95,-0.1431535269709544
459,2015-09-24,215.5,GASL,253.95,0.04358353510895885
460,2015-09-25,196.0,GASL,248.2,-0.09048723897911837
461,2015-09-28,160.5,GASL,240.15,-0.18112244897959184
462,2015-09-29,159.5,GASL,230.95,-0.006230529595015577
463,2015-09-30,169.5,GASL,217.3,0.06269592476489039
464,2015-10-01,172.100006,GASL,204.81000060000002,0.01533926843657829
465,2015-10-02,214.399994,GASL,199.45,0.24578725465006657
466,2015-10-05,262.700012,GASL,199.77000120000002,0.2252799410059687
467,2015-10-06,325.200012,GASL,208.19000240000005,0.23791395944054994
468,2015-10-07,334.0,GASL,220.94000240000005,0.02706023270380431
469,2015-10-08,363.700012,GASL,235.76000360000006,0.08892219161676662
470,2015-10-09,346.0,GASL,250.76000360000006,-0.04866651475392314
471,2015-10-12,279.200012,GASL,262.6300048000001,-0.193063549132948
472,2015-10-13,256.600006,GASL,272.3400054000001,-0.0809455767501901
473,2015-10-14,265.899994,GASL,281.9800048000001,0.03624313243390964
474,2015-10-15,292.399994,GASL,294.01000360000006,0.099661529138658
475,2015-10-16,294.299988,GASL,302.00000300000005,0.006497927629916411
476,2015-10-19,255.100006,GASL,301.24000240000004,-0.1331973618700928
477,2015-10-20,281.600006,GASL,296.88000180000006,0.10388082860335168
478,2015-10-21,245.100006,GASL,287.9900024000001,-0.12961647451101266
